ejercicio,ordencompra,fecha,importe,proveedor,dependencia,expediente
2024,4645,11-07-2024,2831090.9,TECNOSTORE S.A.,SUBSECRETARIA DE ESPACIOS PUBLICOS,Suministro 4573/2024
2024,5841,29-08-2024,1748268.0,BARRIA JUAN MARCELO,SISTEMA DE AMAS EXTERNAS,Suministro 5222/2024
2024,5846,29-08-2024,2021000.0,CAPPELLO CERATTO ANA LAURA,SERV. LOC. PROM Y PROT.I.DER. NIÑOS Y ADOLES.,Suministro 5685/2024
2024,5970,29-08-2024,892400.0,IBARRA DANIELA VANESA,SEC. DE SALUD,Suministro 6286/2024
2024,2403,19-04-2024,1316400.0,RAS SOLUCIONES MECANICAS,DIV. DE CONTROL Y ORDENAMIENTO URBANO,Resolución 2613/2024
2024,2607,30-04-2024,157831.7,DISMAR,INSTITUTO DEL DEPORTE,Suministro 2796/2024
2024,2612,30-04-2024,90000.0,MOLINA FEDERICO NICOLAS,INSTITUTO CULTURAL MUNICIPAL,Suministro 2999/2024
2024,2628,30-04-2024,171200.0,ASOCIACION CIVIL UNION DE MUSICOS DEL SUR,INSTITUTO CULTURAL MUNICIPAL,Suministro 3021/2024
2024,4805,17-07-2024,492360.0,RADIOGRAFICA AUSTRAL S.A.,SEC. DE SALUD,Suministro 4858/2024
2024,5497,16-08-2024,680000.0,PRIMATE,INSTITUTO DEL DEPORTE,Suministro 5943/2024
2024,1712,22-03-2024,603448.27,ASOCIACION ARGENTINA DE ACTORES,INSTITUTO CULTURAL MUNICIPAL,Suministro 2247/2024
2024,4949,24-07-2024,480669.03,SERMAT S.A.,DIRECCION GENERAL DE DEFENSA CIVIL,Suministro 4836/2024
2024,7084,01-10-2024,650000.0,BVC,H.C.D.,Suministro 7018/2024
2024,7230,08-10-2024,74045.9,AÑOS LUZ,MUSEO HISTORICO,Suministro 7441/2024
2024,2141,09-04-2024,1558137.99,ETMAN,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 1124/2024
2024,697,26-02-2024,2950509.73,GRUPO MARCO CONSTRUCCIONES S.R.L.,DEP. PROYECTOS Y OBRAS,Suministro 183/2024
2024,700,26-02-2024,4293052.37,DAWSE INGENIERIA SRL,DEP. PROYECTOS Y OBRAS,Suministro 306/2024
2024,707,26-02-2024,2159850.0,HORMIWHITE S.A.,DEPARTAMENTO CONSERVACION VIAL,Suministro 1357/2024
2024,2415,22-04-2024,1054000.0,ALAUX NEUMATICOS,SUBSECRETARIA DE PROTECCION CIUDADANA,Suministro 2664/2024
2024,2429,22-04-2024,677600.0,OLEOHIDRAULICA BUÑES,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 2714/2024
2024,2431,22-04-2024,295000.0,EMBRAGUES LEMA,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 2714/2024
2024,2436,23-04-2024,479500.0,PALMA CARTELES S.R.L.,SEC. DE SALUD,Suministro 2820/2024
2024,4237,25-06-2024,6862050.0,PERMAQUIM S.A.,DEP. TESORERIA,Suministro 3060/2024
2024,4514,02-07-2024,83983.79,LA CASA DEL CARTUCHO - LUIS J. DREVNIAK MATERIALES ELECTRICOS,MUSEO DE ARTE CONTEMPORANEO,Suministro 4720/2024
2024,4518,02-07-2024,474285.36,STOP,DIVISION DESARROLLO SOCIAL,Suministro 4334/2024
2024,4607,08-07-2024,59623.7,AÑOS LUZ,OFICINA DE COMPRAS,Suministro 5020/2024
2024,6443,11-09-2024,792000.0,MAINA SERGIO MARTIN,TEATRO MUNICIPAL,Suministro 6736/2024
2024,6520,12-09-2024,3567600.0,COOPERATIVA OBRERA LIMITADA DE CONSUMO Y VIVIENDA,OFICINA DEPOSITO Y LOGISTICA,Suministro 6755/2024
2024,558,16-02-2024,220000.0,TRANSPORTE RONAN,CASA DE ABRIGO,Suministro 869/2024
2024,626,21-02-2024,753500.0,CALCO SAURIOS,BAHIA HUB- ESPACIO CESAR MILSTEIN,Suministro 1182/2024
2024,632,21-02-2024,36465.1,LCD INDUSTRIAL SS,ALMACEN DE COMPRAS,Suministro 374/2024
2024,633,21-02-2024,109712.2,NUSICOM SRL.,ALMACEN DE COMPRAS,Suministro 374/2024
2024,657,21-02-2024,69500.0,ASOCIACION ARGENTINA DE ACTORES,INSTITUTO CULTURAL MUNICIPAL,Suministro 1161/2024
2024,679,23-02-2024,128400.0,ASOCIACION CIVIL UNION DE MUSICOS DEL SUR,INSTITUTO CULTURAL MUNICIPAL,Suministro 1343/2024
2024,1289,05-03-2024,399135.64,PROMAR S.R. L,DEP. DE LOGISTICA Y MANT. URBANO,Suministro 767/2024
2024,1570,15-03-2024,345006.85,PROMAR S.R. L,DIV. DE CONTROL Y ORDENAMIENTO URBANO,Suministro 1926/2024
2024,1574,15-03-2024,1663529.31,BAHIA COMUNICACIONES S.A.,OFIC PRESERVACION Y OPTIM DE LA CALIDAD AMBIENTAL,Suministro 1567/2024
2024,1951,28-03-2024,40296.99,PROMAR S.R. L,SEC. DE SALUD,Suministro 2117/2024
2024,2758,02-05-2024,147900.0,TECNOLIMP,SUBSECRETARIA  DE TECNOLOGIA GUBERNAMENTAL Y CONTR,Suministro 2819/2024
2024,2809,06-05-2024,260800.0,COOPERATIVA OBRERA LIMITADA DE CONSUMO Y VIVIENDA,JEFATURA DE GABINETE Y GOBIERNO,Suministro 2941/2024
2024,3067,17-05-2024,270000.0,MAIDA FANNY EDITH,SEC. DE SALUD,Suministro 3329/2024
2024,3474,30-05-2024,1106073.0,LA SUELA,INSTITUTO CULTURAL MUNICIPAL,Suministro 4121/2024
2024,3477,30-05-2024,194999.76,TATO CORTE,DIRECCION GENERAL DE EDUCACION,Suministro 3225/2024
2024,3503,30-05-2024,1216800.0,BELLANDO MARIA BELEN,SEC. DE SALUD,Suministro 3839/2024
2024,3504,30-05-2024,811200.0,ESCUDERO DIAZ MARCOS JAVIER,SEC. DE SALUD,Suministro 3855/2024
2024,3506,30-05-2024,1216800.0,FUENTE ANABELA,SEC. DE SALUD,Suministro 3834/2024
2024,4005,10-06-2024,578136.0,DISPROAL,DIRECCION GENERAL DE EDUCACION,Suministro 3600/2024
2024,4017,10-06-2024,198000.0,CASA SILVIA S.A.,HOGAR DEL ADOLESCENTE,Suministro 4050/2024
2024,4450,28-06-2024,1416000.0,VERNA ETCHEBER ROBERTO RUBEN,NO USAR-SECRETARIA DE PLANEAMIENTO URBANO,Suministro 4638/2024
2024,4467,28-06-2024,973200.0,COOPERATIVA DE TRABAJO EDUCRE LIMITADA,DIRECCION GENERAL DE GENERO,Suministro 4856/2024
2024,4621,08-07-2024,394938.0,MERCERIA - TAPICERIA MIGUEL,DIRECCION GENERAL DE EDUCACION,Suministro 4633/2024
2024,4666,12-07-2024,338509.0,HIPERTEHUELCHE,SUBSECRETARIA DE ESPACIOS PUBLICOS,Suministro 4710/2024
2024,4694,12-07-2024,2328000.0,REX AGENCIA DE PUBLICIDAD S.R.L.,H.C.D.,Suministro 5105/2024
2024,4697,12-07-2024,600000.0,RADIO 10,H.C.D.,Suministro 5085/2024
2024,4728,15-07-2024,59364.99,CODIMAT S.A.,INSTITUTO DEL DEPORTE,Suministro 4924/2024
2024,4780,17-07-2024,2366900.0,CASA BLANCO S.A.,DEP. MANTENIMIENTO DE ALUMBRADO PUBLICO,Suministro 4731/2024
2024,4784,17-07-2024,94000.0,CACU CLIMATIZACION,DIV. DE CONTROL Y ORDENAMIENTO URBANO,Suministro 4910/2024
2024,4818,17-07-2024,337973.55,DISTRIBUIDORA ARCOS S.A.,DIRECCION GENERAL DE EDUCACION,Suministro 4986/2024
2024,4850,18-07-2024,102000.0,JUBAHI,SUBCENTRO DE COMUNICACIONES,Suministro 4870/2024
2024,5057,30-07-2024,483144.1,HIDRAULICA BAHIA,SUBSECRETARIA DE DESARROLLO SOCIAL Y TERRITORIAL,Suministro 5264/2024
2024,5157,31-07-2024,389280.0,LINARES ROCIO ABRIL,PROGRAMA PSICOTERAPEUTICO CABALLO DE TROYA,Suministro 5291/2024
2024,5376,09-08-2024,375200.0,ASOCIACION ARGENTINA DE ACTORES,INSTITUTO CULTURAL MUNICIPAL,Suministro 5713/2024
2024,5386,09-08-2024,4200000.0,CARRILLO CHAPARRO ANSELMO,SEC. DE OBRAS Y SERVICIOS PUBLICOS,Suministro 4859/2024
2024,5579,21-08-2024,13527229.2,COLSER SRL.,DEP. MANTENIMIENTO DE ALUMBRADO PUBLICO,Suministro 5268/2024
2024,5593,21-08-2024,337000.0,ALAUX NEUMATICOS,DIRECCION GRAL. DE FISCALIZACION,Suministro 5211/2024
2024,5594,21-08-2024,154836.4,AÑOS LUZ,APELL,Suministro 6004/2024
2024,5617,21-08-2024,5250000.0,ELECTROMECANICA R.I.,DEP. MANTENIMIENTO DE ALUMBRADO PUBLICO,Suministro 5798/2024
2024,5978,29-08-2024,892400.0,RECAGNO ROMANELLI NATALI,SEC. DE SALUD,Suministro 6177/2024
2024,6000,29-08-2024,892400.0,MANTIÑAN GUERRA CARLA SOLEDAD,SEC. DE SALUD,Suministro 6147/2024
2024,6005,29-08-2024,2021000.0,GOÑI MENICHELLI MARTINA,CASA DE ABRIGO II,Suministro 5609/2024
2024,6313,04-09-2024,205349.0,LA CASA DEL CARTUCHO - LUIS J. DREVNIAK MATERIALES ELECTRICOS,SUBSECRETARIA DE ESPACIOS PUBLICOS,Suministro 6353/2024
2024,6333,06-09-2024,1180000.0,DIAGRAMA S.R.L.,SEC. DE SALUD,Suministro 6080/2024
2024,6336,06-09-2024,483514.53,HIDRAULICA BAHIA,SUBSECRETARIA DE DESARROLLO SOCIAL Y TERRITORIAL,Suministro 6396/2024
2024,6671,23-09-2024,415000.25,IMPRENTA FIORE,SUBSECRETARIA DE AMBIENTE,Suministro 6900/2024
2024,6750,25-09-2024,312508.7,KBYTE COMPUTACION,MUSEO HISTORICO,Suministro 6833/2024
2024,6751,25-09-2024,181500.0,ECOBAHIA S.A.,INSTITUTO CULTURAL MUNICIPAL,Suministro 7000/2024
2024,6801,26-09-2024,21532500.0,DEVIC S.R.L.,SEC. DE OBRAS Y SERVICIOS PUBLICOS,Suministro 6362/2024
2024,6995,30-09-2024,13208832.0,COOPERATIVA DE TRABAJADORES UNIDOS LIMITADA,SUBSECRETARIA DE AMBIENTE,Suministro 7137/2024
2024,7015,30-09-2024,387200.0,ECOBAHIA S.A.,NO USAR-SECRETARIA DE PLANEAMIENTO URBANO,Suministro 7013/2024
2024,7585,24-10-2024,108000.0,ACCESORIOS IGNACIO,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 7628/2024
2024,7587,24-10-2024,1825000.0,GRUPPO BERTRA SRL.,DIV. DE CONTROL Y ORDENAMIENTO URBANO,Suministro 7407/2024
2024,7592,24-10-2024,400000.0,RICHAT CARLOS NICOLAS,INSTITUTO CULTURAL MUNICIPAL,Suministro 7746/2024
2024,7743,31-10-2024,2100000.0,BINAGHI ALEJANDRO ANDRES,INTENDENCIA,Suministro 7873/2024
2024,7745,31-10-2024,1100000.0,IDEADA FILMS,INTENDENCIA,Suministro 7887/2024
2024,7750,31-10-2024,110000.0,JUBAHI,SUBCENTRO DE COMUNICACIONES,Suministro 7801/2024
2024,7764,31-10-2024,2450000.0,CLAIR EDUARDO JOAQUIN,SUBSECRETARIA RELACIONES INSTITUCIONALES Y CULTO,Suministro 7912/2024
2024,7855,06-11-2024,269500.0,HOTEL MUÑIZ,DIRECCION GENERAL DE GENERO,Suministro 7979/2024
2024,7901,07-11-2024,32500.0,FERRETERIA CENTRO,SUBSECRETARIA DE HABITAT,Suministro 6538/2024
2024,8191,22-11-2024,800000.0,EVAL CHRISTIAN ARIEL,INSTITUTO CULTURAL MUNICIPAL,Suministro 8241/2024
2024,8378,29-11-2024,644000.0,EL CHISPA,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 7786/2024
2024,7974,12-11-2024,27600.0,DIAGRAMA S.R.L.,BAHIA HUB- ESPACIO CESAR MILSTEIN,Suministro 7998/2024
2024,8319,28-11-2024,88131.34,AÑOS LUZ,DEP. ELECTRICIDAD Y MECANICA,Suministro 8275/2024
2024,8734,12-12-2024,2930365.75,CODIMAT S.A.,SEC. DE OBRAS Y SERVICIOS PUBLICOS,Suministro 8886/2024
2024,470,09-02-2024,520000.0,KIRSA S.A.,INTENDENCIA,Suministro 993/2024
2024,504,09-02-2024,26136000.0,BENEDICTINO S.A.,SUBSECRETARIA DE ESPACIOS PUBLICOS,Suministro 876/2024
2024,8886,18-12-2024,110000.0,JAGER ALEXIS EMANUEL,INSTITUTO CULTURAL MUNICIPAL,Suministro 9005/2024
2024,29,05-01-2024,402800.0,OCHUA BERGAMO DAMIAN MARCELO,OFICINA DE COORDINACION NIDO,Suministro 66/2024
2024,74,12-01-2024,1528200.0,COOPERATIVA DE TRABAJO DE INVESTIGACION Y VIGILANCIA BAHIENSE LTDA.,TEATRO MUNICIPAL,Suministro 32/2024
2024,421,06-02-2024,499800.0,HARD.NET,"ADMINISTRACION DE REDES, DATOS Y TRANF DIGITAL",Suministro 859/2024
2024,952,29-02-2024,96000.0,IBARRA LAURA VIVIANA,PEQUEÑOS HOGARES - HOGAR SUST.,Suministro 1072/2024
2024,962,29-02-2024,1032000.0,SUAREZ MARIA LUCRECIA,MAMAS CUIDADORAS,Suministro 1035/2024
2024,1486,13-03-2024,1712750.0,PINTURERIA TRICOLOR,DEPARTAMENTO INGENIERIA DE TRANSITO,Suministro 90/2024
2024,2042,04-04-2024,9000.0,FERRETERIA CENTRO,DIVISION DE ACCESIBILIDAD E INLCUSION,Suministro 1759/2024
2024,2081,05-04-2024,164759.88,CODIMAT S.A.,HOGAR DE NIÑOS Y NIÑAS PEUMAYEN,Suministro 2311/2024
2024,2086,05-04-2024,1871000.0,RUBIO RODRIGO HERNAN,SEC. DE SALUD,Suministro 2338/2024
2024,2813,07-05-2024,1200000.0,DROGUERIA GAVAZZA,SEC. DE SALUD,Suministro 3073/2024
2024,2934,13-05-2024,212000.0,LUONGO CRISTALES,SUBSECRETARIA DE ESPACIOS PUBLICOS,Suministro 2952/2024
2024,2935,13-05-2024,134449.22,CODIMAT S.A.,H.C.D.,Suministro 3385/2024
2024,7658,29-10-2024,5214000.0,EQUIVIAL SUDAMERICANA S.A.,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 7568/2024
2024,7664,29-10-2024,1505560.0,ENLUZ S.A.,DEP. MANTENIMIENTO DE ALUMBRADO PUBLICO,Suministro 5822/2024
2024,7665,29-10-2024,4625188.0,IDEA LUZ,DEP. MANTENIMIENTO DE ALUMBRADO PUBLICO,Suministro 5822/2024
2024,3202,24-05-2024,342300.0,REX AGENCIA DE PUBLICIDAD S.R.L.,INTENDENCIA,Suministro 3841/2024
2024,3220,24-05-2024,1067200.0,HARD.NET,"ADMINISTRACION DE REDES, DATOS Y TRANF DIGITAL",Suministro 3765/2024
2024,3430,29-05-2024,632775.0,GIMENEZ CRISTIAN,BAHIA HUB- ESPACIO CESAR MILSTEIN,Suministro 4012/2024
2024,4089,13-06-2024,990300.91,LEONE JAVIER LUJAN,DEP. PROYECTOS Y OBRAS,Suministro 3392/2024
2024,377,01-02-2024,950000.0,KM INGENIERIA,OFIC PRESERVACION Y OPTIM DE LA CALIDAD AMBIENTAL,Suministro 600/2024
2024,1258,01-03-2024,7000000.0,GOUANALUSSE MARIA DE LOS ANGELES,TEATRO MUNICIPAL,Suministro 464/2024
2024,1445,12-03-2024,49202.0,LA CASA DEL CARTUCHO - LUIS J. DREVNIAK MATERIALES ELECTRICOS,BROMATOLOGIA Y  PROTECC. SALUD,Suministro 1664/2024
2024,4435,28-06-2024,3892800.0,COOPERATIVA DE TRABAJO CUIDARTE LIMITADA,PROGRAMA PSICOTERAPEUTICO CABALLO DE TROYA,Suministro 4766/2024
2024,6414,10-09-2024,533000.0,VALETTO IVAN,INSTITUTO CULTURAL MUNICIPAL,Suministro 6583/2023
2024,7339,14-10-2024,26578125.0,BAHIA AMBIENTAL SAPEM,TERMINAL OMNIBUS,Suministro 7442/2024
2024,4236,25-06-2024,2585670.0,BAHIA COMUNICACIONES S.A.,SUBSECRETARIA DE PROTECCION CIUDADANA,Suministro 4471/2024
2024,4644,11-07-2024,15013440.0,AÑOS LUZ,DEP. MANTENIMIENTO DE ALUMBRADO PUBLICO,Suministro 4048/2024
2024,5045,30-07-2024,200000.0,OLEOHIDRAULICA ELOY J COLANTONIO,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 4611/2024
2024,5046,30-07-2024,570000.0,PAMPIN MAURO MANUEL,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 4611/2024
2024,5489,15-08-2024,49420.22,LA LIBRERIA,DPTO. REGISTRO LICITADORES Y OBRAS DE CONSORCIOS,Suministro 5322/2024
2024,5490,15-08-2024,270363.32,CODIMAT S.A.,INSTITUTO DEL DEPORTE,Suministro 5592/2024
2024,6871,27-09-2024,3398957.76,COOPERATIVA DE TRABAJO LIBERTAD LIMITADA,HOGAR REFUGIO DE VIOLENCIA FAMILIAR,Suministro 6857/2024
2024,7637,28-10-2024,2040000.0,VALETTO IVAN,SUBSECRETARIA RELACIONES INSTITUCIONALES Y CULTO,Suministro 7754/2024
2024,2774,03-05-2024,90000.0,MARTIN AVELLANEDA JULIAN,INSTITUTO CULTURAL MUNICIPAL,Suministro 2982/2024
2024,2874,08-05-2024,214000.0,GOMEZ MARIANO OSCAR,INSTITUTO CULTURAL MUNICIPAL,Suministro 3349/2024
2024,2049,04-04-2024,69570.0,FERRETERIA CENTRO,DIRECCION GRAL. DE FISCALIZACION,Suministro 2500/2024
2024,4508,02-07-2024,5795095.95,TALLERES B J IRRAZABAL S.A.,DEP. PROYECTOS Y OBRAS,Suministro 3612/2024
2024,4511,02-07-2024,191797.86,PROBRAS BAHIA S.R.L.,DEP. PROYECTOS Y OBRAS,Suministro 3863/2024
2024,4515,02-07-2024,9080659.61,PROBRAS BAHIA S.R.L.,DEP. PROYECTOS Y OBRAS,Suministro 4096/2024
2024,4529,02-07-2024,26860152.46,TALLERES B J IRRAZABAL S.A.,DEP. PROYECTOS Y OBRAS,Exp 2747/2024
2024,7722,30-10-2024,925000.0,NAVARRETE CARLA VALETINA,INSTITUTO CULTURAL MUNICIPAL,Suministro 7792/2024
2024,8013,13-11-2024,8418824.2,CODIMAT S.A.,SEC. DE OBRAS Y SERVICIOS PUBLICOS,Suministro 7594/2024
2024,3621,31-05-2024,1216800.0,CASTILLO ANALIA JIMENA,SEC. DE SALUD,Suministro 3854/2024
2024,4255,25-06-2024,270000.0,ACQUAMANSA,DIRECCION GENERAL DE DERECHOS HUMANOS,Suministro 4522/2024
2024,5003,29-07-2024,450000.0,LUIS CANO COMUNICACION Y MEDIOS,H.C.D.,Suministro 5352/2024
2024,5139,31-07-2024,737280.0,LEITHOLD ROCIO MELINA,DIRECCION GENERAL DE EDUCACION,Suministro 5426/2024
2024,5141,31-07-2024,737280.0,IRAOLA JOAN MANUEL,DIRECCION GENERAL DE EDUCACION,Suministro 5424/2024
2024,6245,03-09-2024,1402400.0,RAS SOLUCIONES MECANICAS,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 6119/2024
2024,6315,04-09-2024,220000.0,NEES AUDIO,INSTITUTO CULTURAL MUNICIPAL,Suministro 6629/2024
2024,6316,04-09-2024,78964.0,COTILLON AMOROSI,DIRECCION DE PERSONAS MAYORES,Suministro 6587/2024
2024,7734,31-10-2024,1208700.0,CABRERA SANTIAGO NAHUEL,TEATRO MUNICIPAL,Suministro 7793/2024
2024,7842,06-11-2024,643000.0,HND IMPRESIONES,DIV. MESA DE ENTRADAS Y ARCHIVO,Suministro 7926/2024
2024,4288,26-06-2024,482991.2,AÑOS LUZ,TEATRO MUNICIPAL,Suministro 4612/2024
2024,5802,28-08-2024,560000.0,BACEGA LAUTARO,INSTITUTO DEL DEPORTE,Suministro 6053/2024
2024,6317,04-09-2024,985650.0,IMPRENTA MARQUEZ GARABANO,"AGENCIA DES TERRITORIAL, DESCENT Y PARTIC CIUDAD",Suministro 6614/2024
2024,6324,05-09-2024,249990.0,COOPERATIVA OBRERA LIMITADA DE CONSUMO Y VIVIENDA,INSTITUTO DEL DEPORTE,Suministro 6090/2024
2024,1331,06-03-2024,6776689.68,PROBRAS BAHIA S.R.L.,DEP. PROYECTOS Y OBRAS,Suministro 176/2024
2024,1497,13-03-2024,1214692.16,MINISTERIO DE SEGURIDAD - SEGURIDAD PROVINCIAL,SUBSECRETARIA DE PROTECCION CIUDADANA,Suministro 2003/2024
2024,1505,13-03-2024,975589.61,POGGIO JOSE MARIA,DEP. VIALIDAD,Suministro 344/2024
2024,1507,13-03-2024,4594060.03,GEOMAC S.A.,DEP. VIALIDAD,Suministro 149/2024
2024,8947,20-12-2024,275000.0,GONZALEZ MARTA ALICIA,INSTITUTO CULTURAL MUNICIPAL,Suministro 9060/2024
2024,5474,14-08-2024,789595.78,EMSICA SRL,OFIC PRESERVACION Y OPTIM DE LA CALIDAD AMBIENTAL,Suministro 4690/2024
2024,6756,25-09-2024,181935.0,400FRIO S.A.,SEC. DE SALUD,Suministro 7051/2024
2024,530,14-02-2024,750000.0,GALINDEZ ROCIO BELEN,INSTITUTO CULTURAL MUNICIPAL,Resolución 1088/2024
2024,8233,25-11-2024,1760000.0,SCARDACIONE PABLO NORBERTO,DIRECCION DE PERSONAS MAYORES,Suministro 8074/2024
2024,5258,06-08-2024,171673.44,COOPERATIVA AGRICOLA GANADERA E INDUSTRIAL SOMBRA DE TORO LIMITADA,SEC. DE SALUD,Suministro 5526/2024
2024,5288,06-08-2024,485000.0,IMPRENTA FIORE,NO USAR-SECRETARIA DE PLANEAMIENTO URBANO,Suministro 5484/2024
2024,130,17-01-2024,17424000.0,MARMAX S.R.L.,SUBSECRETARIA DE ESPACIOS PUBLICOS,Suministro 250/2024
2024,4205,24-06-2024,1860020.0,BALEANI EMILIANO ANDRES,DIRECCION GENERAL DE EDUCACION,Suministro 3606/2024
2024,4208,24-06-2024,58310.0,BIANCHINI FRANCO,DIRECCION GENERAL DE EDUCACION,Suministro 3606/2024
2024,4211,24-06-2024,1603774.0,LA MOLIENDA,"SUBSECR. DE NINEZ, ADOLESC. Y FAMILIA",Suministro 2785/2024
2024,4221,24-06-2024,689550.15,TALLERES B J IRRAZABAL S.A.,DEP. PROYECTOS Y OBRAS,Suministro 3622/2024
2024,4487,01-07-2024,139402.81,CODIMAT S.A.,OFIC PRESERVACION Y OPTIM DE LA CALIDAD AMBIENTAL,Suministro 3390/2024
2024,4554,03-07-2024,5375800.0,S&M,SEC. DE SALUD,Suministro 3304/2024
2024,8100,19-11-2024,17507.64,ELECTRI-K,MUSEO HISTORICO,Suministro 8088/2024
2024,8104,19-11-2024,8633400.0,FIGUEROA FERNANDO NICOLAS,DIV. DE CONTROL Y ORDENAMIENTO URBANO,Suministro 4728/2024
2024,8109,19-11-2024,940813.0,S&M,TEATRO MUNICIPAL,Suministro 7879/2024
2024,5432,13-08-2024,6000000.0,CARRETERAS 2000 S.A.,DEP. DE LOGISTICA Y MANT. URBANO,Suministro 5169/2024
2024,5433,13-08-2024,2106544.0,LA MOLIENDA,HOGAR REFUGIO DE VIOLENCIA FAMILIAR,Suministro 5328/2024
2024,8430,03-12-2024,1730000.0,SCARDACIONE PABLO NORBERTO,INSTITUTO CULTURAL MUNICIPAL,Suministro 8365/2024
2024,1638,20-03-2024,820713.0,BVC ONLINE,OFIC PRESERVACION Y OPTIM DE LA CALIDAD AMBIENTAL,Suministro 1914/2024
2024,1601,18-03-2024,126500000.0,INGENIERIA Y ARQUITECTURA SRL,SUBSECRETARIA DE ESPACIOS PUBLICOS,Suministro 1524/2024
2024,1761,25-03-2024,218000.0,PANADERIA LA NACION SRL.,INSTITUTO CULTURAL MUNICIPAL,Suministro 2244/2024
2024,5833,29-08-2024,756580.0,YEMES MARIO ANTONIO,INTENDENCIA,Suministro 6374/2024
2024,682,23-02-2024,156000.0,CODIMAT S.A.,DEP. MANTENIMIENTO DE ALUMBRADO PUBLICO,Suministro 713/2024
2024,2749,02-05-2024,261360.0,ECOBAHIA S.A.,INSTITUTO DEL DEPORTE,Suministro 3173/2024
